,work_id,version,task,character_acc,character_C_NED,character_G_NED,fps
0,rec_grapheme_10000_horizontal_C,186.0,test,0.8053278523498392,0.9103117699877564,0.9553557884939886,446.7037167443389
0,rec_grapheme_10000_horizontal_C,26.0,train,0.037499998828125,0.2622631678955455,0.5463074711884737,2217.598067012183
0,rec_grapheme_10000_horizontal_C,26.0,eval,0.0512295071469363,0.2783974256638569,0.5624197765095265,468.8548775761535
0,rec_grapheme_10000_horizontal_C,191.0,train,0.9999999687500012,1.0,1.0,2013.830880115108
0,rec_grapheme_10000_horizontal_C,26.0,test,0.0348360648599167,0.2413300311593175,0.5313917716808649,422.2550753263959
0,rec_grapheme_10000_horizontal_C,191.0,eval,0.8299180157803686,0.917849826039377,0.9560388485892812,503.23334585126537
0,rec_grapheme_10000_horizontal_C,191.0,test,0.8032786720639616,0.9100385459496396,0.9541214013217816,421.5885539666105
0,rec_grapheme_10000_horizontal_C,31.0,train,0.1249999960937501,0.4683246693926317,0.6974214710957904,2442.179449332525
0,rec_grapheme_10000_horizontal_C,196.0,train,0.9999999687500012,1.0,1.0,2091.189886932986
0,rec_grapheme_10000_horizontal_C,31.0,eval,0.1741803242995835,0.4775712441169047,0.6942940148515078,473.133460779075
0,rec_grapheme_10000_horizontal_C,196.0,eval,0.8422130974956333,0.9225483036948532,0.957242335423844,527.9234790480293
0,rec_grapheme_10000_horizontal_C,31.0,test,0.0983606537221177,0.4222409368978733,0.6700060784075863,458.6517272661264
0,rec_grapheme_10000_horizontal_C,196.0,test,0.813524573493349,0.9111997481116368,0.9552560400356284,489.3573654087687
0,rec_grapheme_10000_horizontal_C,36.0,train,0.3343749895507816,0.6553720345791476,0.8120126546841283,2030.167265502031
0,rec_grapheme_10000_horizontal_C,201.0,train,0.9999999687500012,1.0,1.0,2393.9088738221367
0,rec_grapheme_10000_horizontal_C,36.0,eval,0.2971311414522307,0.6184288069343569,0.781555755191903,443.0438859463335
0,rec_grapheme_10000_horizontal_C,201.0,eval,0.8278688354944911,0.9212285340107346,0.9557409584921674,473.4075741527815
0,rec_grapheme_10000_horizontal_C,36.0,test,0.2827868794510885,0.5925619716590539,0.7718636203397709,432.3155654275687
0,rec_grapheme_10000_horizontal_C,201.0,test,0.8114753932074715,0.9145784560829942,0.9563351123528344,507.4003833171975
0,rec_grapheme_10000_horizontal_C,41.0,train,0.5343749833007818,0.780539441381952,0.88490203732697,2261.116891378297
0,rec_grapheme_10000_horizontal_C,206.0,train,0.9999999687500012,1.0,1.0,2343.4245348654813
0,rec_grapheme_10000_horizontal_C,41.0,eval,0.4446721220354073,0.7290154231954293,0.8514141001043817,392.0048764339525
0,rec_grapheme_10000_horizontal_C,206.0,eval,0.8381147369238784,0.9237241428588924,0.959407527503684,514.0988184673856
