,work_id,version,task,first_acc,first_C_NED,first_G_NED,character_acc,character_C_NED,character_G_NED,grapheme_acc,grapheme_C_NED,grapheme_G_NED,fps
0,rec_grapheme_10000_horizontal_C+F,56.0,test,0.8913934243566922,0.9514206033894425,0.9757960907900228,0.7274590014864959,0.8702088238930665,0.9348553118562264,0.8913934243566922,0.9514206033894425,0.9757960907900228,499.4198267207868
0,rec_grapheme_10000_horizontal_C+F,226.0,train,0.9999999687500012,1.0,1.0,0.9968749688476573,0.998437500048828,0.998437500048828,0.9999999687500012,1.0,1.0,2581.393710016762
0,rec_grapheme_10000_horizontal_C+F,226.0,eval,0.9385245709318736,0.9665837243381556,0.982727253368088,0.8627049003544078,0.9308897685252226,0.9683542594740486,0.9385245709318736,0.9665837243381556,0.982727253368088,460.5987129647932
0,rec_grapheme_10000_horizontal_C+F,61.0,train,0.962499969921876,0.9809895839274088,0.9888715281255426,0.8906249721679697,0.9521875014941406,0.9718750008789062,0.962499969921876,0.9809895839274088,0.9888715281255426,2197.2123644481026
0,rec_grapheme_10000_horizontal_C+F,226.0,test,0.9364753906459962,0.9679701736982432,0.984196645739747,0.8463114580673882,0.9297057976933824,0.964848697484994,0.9364753906459962,0.9679701736982432,0.984196645739747,522.9143041230687
0,rec_grapheme_10000_horizontal_C+F,61.0,eval,0.8831967032131823,0.94637978251954,0.9724585832688576,0.7540983452029028,0.8821078933864177,0.936413068351324,0.8831967032131823,0.94637978251954,0.9724585832688576,454.0567692207764
0,rec_grapheme_10000_horizontal_C+F,61.0,test,0.9016393257860794,0.9572095376970464,0.9764051527083252,0.7151639197712312,0.8694257442838206,0.9332734314133188,0.9016393257860794,0.9572095376970464,0.9764051527083252,375.31346559146647
0,rec_grapheme_10000_horizontal_C+F,231.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2384.71392045503
0,rec_grapheme_10000_horizontal_C+F,231.0,eval,0.9344262103601186,0.9664755731564008,0.9831818135981696,0.8668032609261628,0.9378911345019708,0.9652842838235396,0.9344262103601186,0.9664755731564008,0.9831818135981696,409.493707590354
0,rec_grapheme_10000_horizontal_C+F,66.0,train,0.9718749696289072,0.987500000390625,0.9905208336295572,0.9218749711914072,0.9679389890971448,0.98217757992203,0.9718749696289072,0.987500000390625,0.9905208336295572,2087.8197068876752
