,work_id,version,task,first_acc,first_C_NED,first_G_NED,second_acc,second_C_NED,second_G_NED,third_acc,third_C_NED,third_G_NED,composed_acc,composed_C_NED,composed_G_NED,grapheme_acc,grapheme_C_NED,grapheme_G_NED,fps
0,rec_grapheme_10000_horizontal_G,1.0,eval,0.0061475408576323,0.2145909632914694,0.4789489272090643,0.0,0.069459913682027,0.2458707544594539,0.0,0.1823120751437765,0.3016518081753218,0.0,0.0118446078108865,0.2791718314941152,0.0020491802858774,0.1554543173724243,0.34215716328128,428.0054899919895
0,rec_grapheme_10000_horizontal_G,1.0,test,0.0143442620011421,0.2030811743092713,0.4753380821983252,0.0,0.0517279988749461,0.2463204356888538,0.0,0.1883994132272756,0.3200430950934274,0.0,0.0165983808074099,0.2804758799538188,0.0047814206670473,0.1477361954704976,0.3472338709935355,348.9045449217813
0,rec_grapheme_10000_horizontal_G,171.0,train,0.9968749688476573,0.9993750000195312,0.9993750000195312,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9968749688476573,0.9987500000390624,0.9991666666927084,0.9989583021158864,0.9997916666731772,0.9997916666731772,2354.553891672268
0,rec_grapheme_10000_horizontal_G,171.0,eval,0.9344262103601186,0.9661771409481004,0.983803344073767,0.9200819483589764,0.9633928578930036,0.9815936988766144,0.9528688329330156,0.9751008331930288,0.9854117879648248,0.8565573594967755,0.9278965016076374,0.9623636598049776,0.9357923305507037,0.9682236106780442,0.983602943638402,473.40821535103936
0,rec_grapheme_10000_horizontal_G,6.0,train,0.0531249983398438,0.3583073117195632,0.6167340562892301,0.0187499994140625,0.3281138602821563,0.4203253322682727,0.0968749969726563,0.515417921889222,0.6067303363637507,0.0,0.0659821720451998,0.4658639386494241,0.0562499982421875,0.4006130312969804,0.5479299083070844,1957.373054143996
0,rec_grapheme_10000_horizontal_G,171.0,test,0.940573751217751,0.9734175779582008,0.985029599578173,0.9241803089307314,0.9674351099569308,0.9836957350031992,0.9610655540765256,0.9856476063310567,0.9915446918204152,0.8606557200685304,0.9378610473311064,0.9681089541620488,0.941939871408336,0.9755000980820628,0.9867566754672624,459.3163778224309
0,rec_grapheme_10000_horizontal_G,6.0,eval,0.063524588862201,0.3410885185764449,0.6174448751304229,0.018442622572897,0.3197624066012766,0.4034871425037868,0.0778688508633432,0.4979971804664903,0.5874051389951888,0.0020491802858774,0.0619324287985479,0.4634034393070464,0.0532786874328137,0.3862827018814039,0.5361123855431328,495.8556377324229
0,rec_grapheme_10000_horizontal_G,6.0,test,0.0799180311492206,0.3565053475605523,0.6456376384524334,0.0143442620011421,0.3044301469623008,0.4176018204173453,0.0758196705774657,0.4925733580431559,0.5813920417118683,0.0020491802858774,0.0612664452056376,0.4833089489173624,0.0566939879092762,0.3845029508553363,0.5482105001938823,459.68466427094137
0,rec_grapheme_10000_horizontal_G,176.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2097.084762219811
0,rec_grapheme_10000_horizontal_G,176.0,eval,0.9385245709318736,0.9695290144157144,0.9812700584981306,0.9282786695024864,0.9669187490515608,0.9824242132147004,0.9610655540765256,0.978255920299856,0.9855798424327142,0.8729508017837951,0.938138337203124,0.9661332299419746,0.9426229315036284,0.9715678945890436,0.9830913713818484,462.4123696155575
